route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000001,OCESN12213F2586070:2024-01-25T00:46:21Z,12213,1,1,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000002,OCESN12213F2607289:2023-12-21T00:50:45Z,12213,1,2,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000003,OCESN12213F2607537:2024-02-06T00:30:41Z,12213,1,3,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000004,OCESN12244F2411099:2024-01-09T00:38:43Z,12244,0,4,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000005,OCESN12244F2665357:2024-02-08T00:29:23Z,12244,0,5,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000006,OCESN12246F2596883:2024-01-10T00:41:00Z,12246,0,6,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000007,OCESN12250F2587049:2024-02-08T00:29:23Z,12250,0,7,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000008,OCESN12250F2607550:2024-02-05T00:32:25Z,12250,0,8,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000009,OCESN12250F2859359:2023-12-28T00:37:32Z,12250,0,9,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000010,OCESN12252F2665698:2024-01-26T00:33:56Z,12252,0,10,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12252F2665792:2024-02-08T00:29:23Z,12252,0,11,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000012,OCESN12252F2665793:2024-02-08T00:29:23Z,12252,0,12,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000013,OCESN12254F2586266:2023-12-21T00:50:45Z,12254,0,13,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000011,OCESN12254F2607149:2023-12-21T00:50:45Z,12254,0,14,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000014,OCESN12254F2607272:2024-02-08T00:29:23Z,12254,0,15,
FR:Line::9684FBBE-75D8-461A-B8F4-44181F11CFBC:,000015,OCESN12254F2607273:2023-12-21T00:50:45Z,12254,0,16,
